"ccode","year","milex"
2,1914,25320500000
2,1915,25764800000
2,1916,27742100000
2,1917,65858400000
2,1918,701422600000
2,1919,1121779600000
2,1920,165711800000
2,1921,111634200000
2,1922,86085300000
2,1923,67825600000
2,1924,57014200000
2,1925,58970600000
2,1926,55800400000
2,1927,59650100000
2,1928,6.781e+10
2,1929,7.013e+10
2,1930,6.992e+10
2,1931,6.989e+10
2,1932,6.416e+10
2,1933,5.704e+10
2,1934,8.031e+10
2,1935,8.064e+10
2,1936,9.326e+10
2,1937,1.0329e+11
2,1938,113149900000
2,1939,9.8e+10
2,1940,1.657e+11
2,1941,6.301e+11
2,1942,2.6001e+12
2,1943,7.2109e+12
2,1944,8.7e+12
2,1945,9e+12
2,1946,4513398400000
2,1947,1431599900000
2,1948,1096099800000
2,1949,1.3503e+12
2,1950,1.4559e+12
2,1951,3.3398e+12
2,1952,4.7852e+12
2,1953,4962100800000
2,1954,4.2786e+12
2,1955,4.0518e+12
2,1956,4177300800000
2,1957,4.4548e+12
2,1958,4550300800000
2,1959,4.6614e+12
2,1960,4.538e+12
2,1961,4.7808e+12
2,1962,5238100800000
2,1963,5229500800000
2,1964,5121300800000
2,1965,5182700800000
2,1966,6.7572e+12
2,1967,7.5448e+12
2,1968,8.0732e+12
2,1969,8.1446e+12
2,1970,7782700800000
2,1971,7.4862e+12
2,1972,7.7639e+12
2,1973,7.8385e+12
2,1974,8.5906e+12
2,1975,9.0948e+12
2,1976,9.1013e+12
2,1977,1.00925e+13
2,1978,1.09247e+13
2,1979,1.22279e+13
2,1980,1.43981e+13
2,1981,1.69888e+13
2,1982,1.96345e+13
2,1983,2.17198e+13
2,1984,2.37052e+13
2,1985,2.45154e+13
2,1986,2.6548e+13
2,1987,2.73966e+13
2,1988,2.81935e+13
2,1989,2.9488e+13
2,1990,2.89755e+13
2,1991,2.62389e+13
2,1992,2.86892e+13
2,1993,2.976e+13
2,1994,2.93214e+13
2,1995,2.77834e+13
2,1996,2.77254e+13
2,1997,2.76324e+13
2,1998,2.79702e+13
2,1999,2.92147e+13
