Balance of Payments and Direct Investment Position Data (Jun 21 2016  3:18:04:960PM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Country Only (All Countries)  (Millions of Dollars) <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,43511,44779,47498,47934,52006,59145,63900,63948,69508,70711,68690,69922,74221,83498,89592,96626,98200,119590,132472,152601,166473,187953,214931,231836,205134,250642,246483,274807,295206,330041,366709,390172,386121
Europe,92449,94400,94388,108664,125613,156003,163138,189467,214739,235163,248744,285735,297133,344596,389378,425139,518433,627754,687320,771936,859378,976889,1180130,1210679,1397704,1682023,1844182,1991191,2034559,2246394,2445652,2650757,2781666
  Austria,562,548,534,509,736,711,697,962,1113,1268,1371,1312,2197,2829,2854,2646,3856,3848,2872,3964,4011,6366,9264,11236,14897,14646,13546,10954,11485,12556,14327,15641,15787
  Belgium,5549,5087,5202,5619,5568,7719,7830,7710,9464,10611,11381,11697,14714,18706,18740,17337,17899,21756,17973,22589,25727,27415,41840,49306,51862,62491,65279,46610,43975,50984,49144,51702,48128
  Czech Republic,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1038,1228,1179,1264,1668,2444,2729,3615,4066,5053,5372,5268,5840,6016,6990,7247
  Denmark,1155,1275,1263,1383,1164,1120,1182,(D),1726,1940,1676,1735,2030,2161,2554,2385,2764,3846,5270,5160,6184,5597,6815,6914,5849,8950,10481,13053,11802,14942,14306,13605,14108
  Finland,178,199,193,268,306,404,426,(D),544,386,343,414,761,965,1070,1311,1628,1379,1342,1686,1722,1677,2208,1950,2107,2202,2012,1659,1597,2123,2007,1919,1784
  France,7391,6613,6434,7747,9323,12335,13576,16443,19164,21569,25157,24312,27322,33358,35200,36630,42328,43120,42628,40125,43348,51229,63359,60526,63008,74179,84409,90879,78320,76283,75185,77690,76823
  Germany,15463,15451,15055,17176,21476,25128,22784,23673,27609,32411,33003,36811,38878,44242,41281,40726,47685,53399,55508,63396,61073,72262,79467,100473,93620,100601,107833,110149,103319,119648,121072,123322,115533
  Greece,412,315,239,179,129,164,216,210,282,306,372,410,482,533,566,634,648,760,795,835,981,1431,1899,1884,1804,2179,2092,1919,1775,1440,1065,-583,-447
  Hungary,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2409,1920,2033,2503,2856,3024,2795,2602,6457,3737,4090,4237,6305,7500,6189,5879
  Ireland,2031,2517,2964,3762,4412,5530,6063,4665,5894,6471,7607,9019,7239,7996,10133,11339,21825,25157,35903,39541,51598,60604,72907,55173,86372,117708,150131,129829,158851,184804,212411,247755,310598
  Italy,4316,4535,4745,6137,7745,9726,10046,11221,14063,15085,13015,12748,14808,17096,16193,15547,15548,17889,23484,22883,23771,23092,25184,24528,25435,28216,27663,29944,27137,26896,27317,28018,26733
  Luxembourg,1098,1240,493,795,957,874,1122,1560,1697,1734,2031,5611,6310,5929,7753,10258,14571,22148,27849,50771,62181,68298,83634,79937,125146,144180,172251,219082,272206,357898,408205,445498,465160
  Netherlands,6760,6917,6207,7552,12203,15507,16765,19160,19120,20293,20700,20911,29889,42113,54118,68619,89978,121315,115429,147687,158415,186366,219384,240205,279373,412122,423059,497471,514689,595658,647365,717035,753224
  Norway,2735,3099,2850,3235,3247,3873,4429,3447,4209,4318,3825,3757,5026,4741,5483,6633,6897,5944,4379,4446,6045,7511,8491,8533,9667,12188,24706,24238,28541,32727,43326,41842,39522
